GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType	Regulation	log2FoldChange	Adjusted_P-value
3575	IL7R	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	MIM:146661|HGNC:HGNC:6024|Ensembl:ENSG00000168685|Vega:OTTHUMG00000090791	5p13.2	interleukin 7 receptor	protein-coding	Down	-2.99	0.0026
3577	CXCR1	C-C|C-C-CKR-1|CD128|CD181|CDw128a|CKR-1|CMKAR1|IL8R1|IL8RA|IL8RBA	MIM:146929|HGNC:HGNC:6026|Ensembl:ENSG00000163464|Vega:OTTHUMG00000133108	2q35	C-X-C motif chemokine receptor 1	protein-coding	Down	-9.01	0.00383
3579	CXCR2	CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB	MIM:146928|HGNC:HGNC:6027|Ensembl:ENSG00000180871|Vega:OTTHUMG00000133107	2q35	C-X-C motif chemokine receptor 2	protein-coding	Down	-5.1	0.0191
3589	IL11	AGIF|IL-11	MIM:147681|HGNC:HGNC:5966|Ensembl:ENSG00000095752|Vega:OTTHUMG00000180789	19q13.42	interleukin 11	protein-coding	Up	8.72	0.000126
362	AQP5	AQP-5|PPKB	MIM:600442|HGNC:HGNC:638|Ensembl:ENSG00000161798|Vega:OTTHUMG00000169710	12q13.12	aquaporin 5	protein-coding	Up	4.67	1.4e-06
3624	INHBA	EDF|FRP	MIM:147290|HGNC:HGNC:6066|Ensembl:ENSG00000122641|Vega:OTTHUMG00000023574	7p14.1	inhibin beta A subunit	protein-coding	Down	-3.98	0.00632
3642	INSM1	IA-1|IA1	MIM:600010|HGNC:HGNC:6090|Ensembl:ENSG00000173404|Vega:OTTHUMG00000032004	20p11.23	INSM transcriptional repressor 1	protein-coding	Up	10.39	7.81e-08
366	AQP9	AQP-9|HsT17287|SSC1|T17287	MIM:602914|HGNC:HGNC:643|Ensembl:ENSG00000103569|Vega:OTTHUMG00000132631	15q21.3	aquaporin 9	protein-coding	Down	-2.9	0.0355
3690	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	MIM:173470|HGNC:HGNC:6156|Ensembl:ENSG00000259207|Ensembl:ENSG00000259753|Vega:OTTHUMG00000171956|Vega:OTTHUMG00000171957	17q21.32	integrin subunit beta 3	protein-coding	Up	3.6	0.00497
3691	ITGB4	CD104|GP150	MIM:147557|HGNC:HGNC:6158|Ensembl:ENSG00000132470|Vega:OTTHUMG00000179814	17q25.1	integrin subunit beta 4	protein-coding	Up	4.45	0.0425
3696	ITGB8	-	MIM:604160|HGNC:HGNC:6163|Ensembl:ENSG00000105855|Vega:OTTHUMG00000023594	7p21.1	integrin subunit beta 8	protein-coding	Up	3.32	0.0402
3706	ITPKA	IP3-3KA|IP3KA	MIM:147521|HGNC:HGNC:6178|Ensembl:ENSG00000137825|Vega:OTTHUMG00000130343	15q15.1	inositol-trisphosphate 3-kinase A	protein-coding	Up	11.32	2.97e-06
374	AREG	AR|AREGB|CRDGF|SDGF	MIM:104640|HGNC:HGNC:651|Ensembl:ENSG00000109321|Vega:OTTHUMG00000130006	4q13.3	amphiregulin	protein-coding	Down	-5.54	0.00189
3741	KCNA5	ATFB7|HCK1|HK2|HPCN1|KV1.5|PCN1	MIM:176267|HGNC:HGNC:6224|Ensembl:ENSG00000130037|Vega:OTTHUMG00000168232	12p13.32	potassium voltage-gated channel subfamily A member 5	protein-coding	Down	-4.18	0.00571
374897	SBSN	UNQ698	MIM:609969|HGNC:HGNC:24950|Ensembl:ENSG00000189001|Vega:OTTHUMG00000048102	19q13.12	suprabasin	protein-coding	Up	12.88	5.05e-06
3756	KCNH1	EAG|EAG1|Kv10.1|TMBTS|ZLS1|h-eag|hEAG1	MIM:603305|HGNC:HGNC:6250|Ensembl:ENSG00000143473|Vega:OTTHUMG00000036309	1q32.2	potassium voltage-gated channel subfamily H member 1	protein-coding	Up	7.43	0.00167
3760	KCNJ3	GIRK1|KGA|KIR3.1	MIM:601534|HGNC:HGNC:6264|Ensembl:ENSG00000162989|Vega:OTTHUMG00000131937	2q24.1	potassium voltage-gated channel subfamily J member 3	protein-coding	Up	6.16	0.0313
3798	KIF5A	D12S1889|MY050|NEIMY|NKHC|SPG10	MIM:602821|HGNC:HGNC:6323|Ensembl:ENSG00000155980|Vega:OTTHUMG00000170143	12q13.3	kinesin family member 5A	protein-coding	Up	7.73	0.000524
3832	KIF11	EG5|HKSP|KNSL1|MCLMR|TRIP5	MIM:148760|HGNC:HGNC:6388|Ensembl:ENSG00000138160|Vega:OTTHUMG00000018761	10q23.33	kinesin family member 11	protein-coding	Up	3.91	0.00785
3833	KIFC1	HSET|KNSL2	MIM:603763|HGNC:HGNC:6389|Ensembl:ENSG00000237649|Vega:OTTHUMG00000031209	6p21.32	kinesin family member C1	protein-coding	Up	5.75	0.0263
3852	KRT5	CK5|DDD|DDD1|EBS2|K5|KRT5A	MIM:148040|HGNC:HGNC:6442|Ensembl:ENSG00000186081|Vega:OTTHUMG00000169657	12q13.13	keratin 5	protein-coding	Down	-8.81	0.000159
3887	KRT81	HB1|Hb-1|KRTHB1|MLN137|ghHkb1|hHAKB2-1	MIM:602153|HGNC:HGNC:6458|Ensembl:ENSG00000205426|Vega:OTTHUMG00000167574	12q13.13	keratin 81	protein-coding	Up	9.21	6.82e-07
3897	L1CAM	CAML1|CD171|HSAS|HSAS1|MASA|MIC5|N-CAM-L1|N-CAML1|NCAM-L1|S10|SPG1	MIM:308840|HGNC:HGNC:6470|Ensembl:ENSG00000198910|Vega:OTTHUMG00000024221	Xq28	L1 cell adhesion molecule	protein-coding	Up	5.93	0.00337
3934	LCN2	24p3|MSFI|NGAL|p25	MIM:600181|HGNC:HGNC:6526|Ensembl:ENSG00000148346|Vega:OTTHUMG00000020734	9q34.11	lipocalin 2	protein-coding	Up	5.67	7.01e-05
3952	LEP	LEPD|OB|OBS	MIM:164160|HGNC:HGNC:6553|Ensembl:ENSG00000174697|Vega:OTTHUMG00000157564	7q32.1	leptin	protein-coding	Down	-7.48	0.000371
3953	LEPR	CD295|LEP-R|LEPRD|OB-R|OBR	MIM:601007|HGNC:HGNC:6554|Ensembl:ENSG00000116678|Vega:OTTHUMG00000009115	1p31.3	leptin receptor	protein-coding	Down	-3.48	0.0339
3960	LGALS4	GAL4|L36LBP	MIM:602518|HGNC:HGNC:6565|Ensembl:ENSG00000171747|Vega:OTTHUMG00000182608	19q13.2	galectin 4	protein-coding	Up	9.06	3.04e-07
4015	LOX	AAT10	MIM:153455|HGNC:HGNC:6664|Ensembl:ENSG00000113083|Vega:OTTHUMG00000128914	5q23.1	lysyl oxidase	protein-coding	Up	4.04	0.0454
4017	LOXL2	LOR2|WS9-14	MIM:606663|HGNC:HGNC:6666|Ensembl:ENSG00000134013|Vega:OTTHUMG00000163797	8p21.3	lysyl oxidase like 2	protein-coding	Up	3.25	0.0037
4023	LPL	HDLCQ11|LIPD	MIM:609708|HGNC:HGNC:6677|Ensembl:ENSG00000175445|Vega:OTTHUMG00000036645	8p21.3	lipoprotein lipase	protein-coding	Down	-3.83	2.61e-05
4057	LTF	GIG12|HEL110|HLF2|LF	MIM:150210|HGNC:HGNC:6720|Ensembl:ENSG00000012223|Vega:OTTHUMG00000156325	3p21.31	lactotransferrin	protein-coding	Up	4.37	2.99e-05
4085	MAD2L1	HSMAD2|MAD2	MIM:601467|HGNC:HGNC:6763|Ensembl:ENSG00000164109|Vega:OTTHUMG00000132967	4q27	MAD2 mitotic arrest deficient-like 1 (yeast)	protein-coding	Up	5.5	0.0395
4091	SMAD6	AOVD2|HsT17432|MADH6|MADH7	MIM:602931|HGNC:HGNC:6772|Ensembl:ENSG00000137834|Vega:OTTHUMG00000133218	15q22.31	SMAD family member 6	protein-coding	Down	-4.26	0.00049
4100	MAGEA1	CT1.1|MAGE1	MIM:300016|HGNC:HGNC:6796|Ensembl:ENSG00000198681|Vega:OTTHUMG00000024192	Xq28	MAGE family member A1	protein-coding	Up	8.55	0.000242
4105	MAGEA6	CT1.6|MAGE-3b|MAGE3B|MAGE6	MIM:300176|HGNC:HGNC:6804|Ensembl:ENSG00000197172|Vega:OTTHUMG00000022642	Xq28	MAGE family member A6	protein-coding	Up	12.76	1.16e-09
4133	MAP2	MAP2A|MAP2B|MAP2C	MIM:157130|HGNC:HGNC:6839|Ensembl:ENSG00000078018|Vega:OTTHUMG00000132962	2q34	microtubule associated protein 2	protein-coding	Down	-5.75	0.0187
4151	MB	PVALB|myoglobgin	MIM:160000|HGNC:HGNC:6915|Ensembl:ENSG00000198125|Vega:OTTHUMG00000150606	22q12.3	myoglobin	protein-coding	Up	5.76	0.000322
4162	MCAM	CD146|MUC18	MIM:155735|HGNC:HGNC:6934|Ensembl:ENSG00000076706|Vega:OTTHUMG00000166197	11q23.3	melanoma cell adhesion molecule	protein-coding	Down	-2.75	0.00632
4192	MDK	ARAP|MK|NEGF2	MIM:162096|HGNC:HGNC:6972|Ensembl:ENSG00000110492|Vega:OTTHUMG00000150315	11p11.2	midkine (neurite growth-promoting factor 2)	protein-coding	Up	3.67	0.015
4288	MKI67	KIA|MIB-|MIB-1|PPP1R105	MIM:176741|HGNC:HGNC:7107|Ensembl:ENSG00000148773|Vega:OTTHUMG00000019255	10q26.2	marker of proliferation Ki-67	protein-coding	Up	4.42	0.000193
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	MIM:100790|HGNC:HGNC:738|Ensembl:ENSG00000139352|Vega:OTTHUMG00000169967	12q23.2	achaete-scute family bHLH transcription factor 1	protein-coding	Up	13.71	2.94e-07
43	ACHE	ACEE|ARACHE|N-ACHE|YT	MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085|Vega:OTTHUMG00000157033	7q22.1	acetylcholinesterase (Cartwright blood group)	protein-coding	Up	5.34	0.000482
430	ASCL2	ASH2|HASH2|MASH2|bHLHa45	MIM:601886|HGNC:HGNC:739|Ensembl:ENSG00000183734|Vega:OTTHUMG00000009648	11p15.5	achaete-scute family bHLH transcription factor 2	protein-coding	Up	6.17	0.00211
4311	MME	CALLA|CD10|CMT2T|NEP|SCA43|SFE	MIM:120520|HGNC:HGNC:7154|Ensembl:ENSG00000196549|Vega:OTTHUMG00000158455	3q25.2	membrane metalloendopeptidase	protein-coding	Down	-8.02	7.19e-09
4312	MMP1	CLG|CLGN	MIM:120353|HGNC:HGNC:7155|Ensembl:ENSG00000196611|Vega:OTTHUMG00000048192	11q22.2	matrix metallopeptidase 1	protein-coding	Up	8.05	9.57e-09
4314	MMP3	CHDS6|MMP-3|SL-1|STMY|STMY1|STR1	MIM:185250|HGNC:HGNC:7173|Ensembl:ENSG00000149968|Vega:OTTHUMG00000048254	11q22.2	matrix metallopeptidase 3	protein-coding	Up	7.61	0.00151
4316	MMP7	MMP-7|MPSL1|PUMP-1	MIM:178990|HGNC:HGNC:7174|Ensembl:ENSG00000137673|Vega:OTTHUMG00000048193	11q22.2	matrix metallopeptidase 7	protein-coding	Up	5.66	0.000959
4317	MMP8	CLG1|HNC|MMP-8|PMNL-CL	MIM:120355|HGNC:HGNC:7175|Ensembl:ENSG00000118113|Vega:OTTHUMG00000167587	11q22.2	matrix metallopeptidase 8	protein-coding	Up	7.65	0.0498
4318	MMP9	CLG4B|GELB|MANDP2|MMP-9	MIM:120361|HGNC:HGNC:7176|Ensembl:ENSG00000100985|Vega:OTTHUMG00000033044	20q13.12	matrix metallopeptidase 9	protein-coding	Up	6.48	6.51e-06
4319	MMP10	SL-2|STMY2	MIM:185260|HGNC:HGNC:7156|Ensembl:ENSG00000166670|Vega:OTTHUMG00000168083	11q22.2	matrix metallopeptidase 10	protein-coding	Up	6.57	0.00171
4321	MMP12	HME|ME|MME|MMP-12	MIM:601046|HGNC:HGNC:7158|Ensembl:ENSG00000262406|Vega:OTTHUMG00000165848	11q22.2	matrix metallopeptidase 12	protein-coding	Up	11.96	6.7e-08
4322	MMP13	CLG3|MANDP1|MDST|MMP-13	MIM:600108|HGNC:HGNC:7159|Ensembl:ENSG00000137745|Vega:OTTHUMG00000165850	11q22.2	matrix metallopeptidase 13	protein-coding	Up	10.81	4.17e-10
4440	MSI1	-	MIM:603328|HGNC:HGNC:7330|Ensembl:ENSG00000135097|Vega:OTTHUMG00000169344	12q24.31	musashi RNA binding protein 1	protein-coding	Up	4.42	0.00519
4481	MSR1	CD204|SCARA1|SR-A|SRA|phSR1|phSR2	MIM:153622|HGNC:HGNC:7376|Ensembl:ENSG00000038945|Vega:OTTHUMG00000094809	8p22	macrophage scavenger receptor 1	protein-coding	Down	-4.76	0.0167
4495	MT1G	MT1|MT1K	MIM:156353|HGNC:HGNC:7399|Ensembl:ENSG00000125144|Vega:OTTHUMG00000133275	16q13	metallothionein 1G	protein-coding	Up	4.26	0.00361
4582	MUC1	ADMCKD|ADMCKD1|CA 15-3|CD227|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM	MIM:158340|HGNC:HGNC:7508|Ensembl:ENSG00000185499|Vega:OTTHUMG00000035681	1q22	"mucin 1, cell surface associated"	protein-coding	Down	-8.03	0.0435
4585	MUC4	ASGP|HSA276359|MUC-4	MIM:158372|HGNC:HGNC:7514|Ensembl:ENSG00000145113|Vega:OTTHUMG00000151827	3q29	"mucin 4, cell surface associated"	protein-coding	Up	7.31	0.000147
4602	MYB	Cmyb|c-myb|c-myb_CDS|efg	MIM:189990|HGNC:HGNC:7545|Ensembl:ENSG00000118513|Vega:OTTHUMG00000015629	6q23.3	"MYB proto-oncogene, transcription factor"	protein-coding	Up	8.14	0.0101
4684	NCAM1	CD56|MSK39|NCAM	MIM:116930|HGNC:HGNC:7656|Ensembl:ENSG00000149294|Vega:OTTHUMG00000167196	11q23.2	neural cell adhesion molecule 1	protein-coding	Up	4.72	6.58e-05
4751	NEK2	HsPK21|NEK2A|NLK1|PPP1R111|RP67	MIM:604043|HGNC:HGNC:7745|Ensembl:ENSG00000117650|Vega:OTTHUMG00000037121	1q32.3	NIMA related kinase 2	protein-coding	Up	5.65	0.000515
4826	NNAT	Peg5	MIM:603106|HGNC:HGNC:7860|Ensembl:ENSG00000053438|Vega:OTTHUMG00000032420	20q11.23	neuronatin	protein-coding	Up	7.91	0.0004
4856	NOV	CCN3|IBP-9|IGFBP-9|IGFBP9|NOVh	MIM:164958|HGNC:HGNC:7885|Ensembl:ENSG00000136999|Vega:OTTHUMG00000164984	8q24.12	nephroblastoma overexpressed	protein-coding	Down	-4.14	7.78e-06
4878	NPPA	ANF|ANP|ATFB6|ATRST2|CDD|CDD-ANF|CDP|PND	MIM:108780|HGNC:HGNC:7939|Ensembl:ENSG00000175206|Vega:OTTHUMG00000002388	1p36.22	natriuretic peptide A	protein-coding	Up	7.19	0.0319
4884	NPTX1	NP1	MIM:602367|HGNC:HGNC:7952|Ensembl:ENSG00000171246|Vega:OTTHUMG00000177607	17q25.3	neuronal pentraxin 1	protein-coding	Up	9.34	2.08e-05
4915	NTRK2	GP145-TrkB|TRKB|trk-B	MIM:600456|HGNC:HGNC:8032|Ensembl:ENSG00000148053|Vega:OTTHUMG00000020120	9q21.33	neurotrophic receptor tyrosine kinase 2	protein-coding	Down	-5.92	7.71e-05
4920	ROR2	BDB|BDB1|NTRKR2	MIM:602337|HGNC:HGNC:10257|Ensembl:ENSG00000169071|Vega:OTTHUMG00000020211	9q22.31	receptor tyrosine kinase like orphan receptor 2	protein-coding	Up	2.96	0.00456
4922	NTS	NMN-125|NN|NT|NT/N|NTS1	MIM:162650|HGNC:HGNC:8038|Ensembl:ENSG00000133636|Vega:OTTHUMG00000169832	12q21.31	neurotensin	protein-coding	Down	-7.91	1.67e-08
4923	NTSR1	NTR	MIM:162651|HGNC:HGNC:8039|Ensembl:ENSG00000101188|Vega:OTTHUMG00000032932	20q13.33	neurotensin receptor 1	protein-coding	Up	11.38	5.01e-07
4929	NR4A2	HZF-3|NOT|NURR1|RNR1|TINUR	MIM:601828|HGNC:HGNC:7981|Ensembl:ENSG00000153234|Vega:OTTHUMG00000131950	2q24.1	nuclear receptor subfamily 4 group A member 2	protein-coding	Down	-3.87	3.03e-05
4978	OPCML	IGLON1|OBCAM|OPCM	MIM:600632|HGNC:HGNC:8143|Ensembl:ENSG00000183715|Vega:OTTHUMG00000163658	11q25	opioid binding protein/cell adhesion molecule like	protein-coding	Up	5.78	0.019
5004	ORM1	AGP-A|AGP1|HEL-S-153w|ORM	MIM:138600|HGNC:HGNC:8498|Ensembl:ENSG00000229314|Vega:OTTHUMG00000021012	9q32	orosomucoid 1	protein-coding	Down	-7.17	0.000268
5008	OSM	-	MIM:165095|HGNC:HGNC:8506|Ensembl:ENSG00000099985|Vega:OTTHUMG00000150913	22q12.2	oncostatin M	protein-coding	Up	5.52	0.000628
5031	P2RY6	P2Y6	MIM:602451|HGNC:HGNC:8543|Ensembl:ENSG00000171631|Vega:OTTHUMG00000167969	11q13.4	pyrimidinergic receptor P2Y6	protein-coding	Up	4.45	0.00303
5047	PAEP	GD|GdA|GdF|GdS|PAEG|PEP|PP14	MIM:173310|HGNC:HGNC:8573|Ensembl:ENSG00000122133|Vega:OTTHUMG00000020914	9q34.3	progestagen associated endometrial protein	protein-coding	Up	11.62	1.05e-09
50506	DUOX2	LNOX2|NOXEF2|P138-TOX|TDH6|THOX2	MIM:606759|HGNC:HGNC:13273|Ensembl:ENSG00000140279|Vega:OTTHUMG00000131355	15q21.1	dual oxidase 2	protein-coding	Down	-6.55	0.0493
5054	SERPINE1	PAI|PAI-1|PAI1|PLANH1	MIM:173360|HGNC:HGNC:8583|Ensembl:ENSG00000106366|Vega:OTTHUMG00000157107	7q22.1	serpin family E member 1	protein-coding	Down	-3.09	0.00235
5069	PAPPA	ASBABP2|DIPLA1|IGFBP-4ase|PAPA|PAPP-A|PAPPA1	MIM:176385|HGNC:HGNC:8602|Ensembl:ENSG00000182752|Vega:OTTHUMG00000021045	9q33.1	pappalysin 1	protein-coding	Up	3.34	0.0067
5079	PAX5	ALL3|BSAP	MIM:167414|HGNC:HGNC:8619|Ensembl:ENSG00000196092|Vega:OTTHUMG00000019907	9p13.2	paired box 5	protein-coding	Up	8.48	0.0381
50943	FOXP3	AIID|DIETER|IPEX|JM2|PIDX|XPID	MIM:300292|HGNC:HGNC:6106|Ensembl:ENSG00000049768|Vega:OTTHUMG00000024135	Xp11.23	forkhead box P3	protein-coding	Up	5.32	0.0189
51129	ANGPTL4	ARP4|FIAF|HARP|HFARP|NL2|PGAR|TGQTL|UNQ171|pp1158	MIM:605910|HGNC:HGNC:16039|Ensembl:ENSG00000167772|Vega:OTTHUMG00000182273	19p13.2	angiopoietin like 4	protein-coding	Up	4.18	0.00925
51162	EGFL7	NEU1|VE-STATIN|ZNEU1	MIM:608582|HGNC:HGNC:20594|Ensembl:ENSG00000172889|Vega:OTTHUMG00000020938	9q34.3	EGF like domain multiple 7	protein-coding	Down	-4.18	0.00258
51208	CLDN18	SFTA5|SFTPJ	MIM:609210|HGNC:HGNC:2039|Ensembl:ENSG00000066405|Vega:OTTHUMG00000159762	3q22.3	claudin 18	protein-coding	Down	-7.47	2.43e-06
5122	PCSK1	BMIQ12|NEC1|PC1|PC3|SPC3	MIM:162150|HGNC:HGNC:8743|Ensembl:ENSG00000175426|Vega:OTTHUMG00000122089	5q15	proprotein convertase subtilisin/kexin type 1	protein-coding	Up	8.62	1.01e-09
5126	PCSK2	NEC 2|NEC-2|NEC2|PC2|SPC2	MIM:162151|HGNC:HGNC:8744|Ensembl:ENSG00000125851|Vega:OTTHUMG00000031941	20p12.1	proprotein convertase subtilisin/kexin type 2	protein-coding	Down	-6.47	0.000222
51280	GOLM1	C9orf155|GOLPH2|GP73|HEL46|PSEC0257|bA379P1.3	MIM:606804|HGNC:HGNC:15451|Ensembl:ENSG00000135052|Vega:OTTHUMG00000020130	9q21.33	golgi membrane protein 1	protein-coding	Up	3.05	0.0492
51297	BPIFA1	LUNX|NASG|PLUNC|SPLUNC1|SPURT|bA49G10.5	MIM:607412|HGNC:HGNC:15749|Ensembl:ENSG00000198183|Vega:OTTHUMG00000032243	20q11.21	BPI fold containing family A member 1	protein-coding	Up	10.86	1.01e-07
51311	TLR8	CD288	MIM:300366|HGNC:HGNC:15632|Ensembl:ENSG00000101916|Vega:OTTHUMG00000021145	Xp22.2	toll like receptor 8	protein-coding	Down	-5.08	0.0295
51364	ZMYND10	BLU|CILD22|FLU	MIM:607070|HGNC:HGNC:19412|Ensembl:ENSG00000004838|Vega:OTTHUMG00000156874	3p21.31	zinc finger MYND-type containing 10	protein-coding	Down	-8.47	1.07e-06
5144	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	MIM:600129|HGNC:HGNC:8783|Ensembl:ENSG00000113448|Vega:OTTHUMG00000162218	5q11.2-q12.1	phosphodiesterase 4D	protein-coding	Down	-4.5	0.0316
51512	GTSE1	B99	MIM:607477|HGNC:HGNC:13698|Ensembl:ENSG00000075218|Vega:OTTHUMG00000150486	22q13.31	G2 and S-phase expressed 1	protein-coding	Up	8.42	0.00733
5155	PDGFB	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	MIM:190040|HGNC:HGNC:8800|Ensembl:ENSG00000100311|Vega:OTTHUMG00000151029	22q13.1	platelet derived growth factor subunit B	protein-coding	Down	-3.52	0.0099
51557	LGSN	GLULD1|LGS	MIM:611470|HGNC:HGNC:21016|Ensembl:ENSG00000146166|Vega:OTTHUMG00000014946	6q12	"lengsin, lens protein with glutamine synthetase domain"	protein-coding	Up	6.53	1.26e-08
51561	IL23A	IL-23|IL-23A|IL23P19|P19|SGRF	MIM:605580|HGNC:HGNC:15488|Ensembl:ENSG00000110944|Vega:OTTHUMG00000187402	12q13.3	interleukin 23 subunit alpha	protein-coding	Up	7.32	0.000623
51738	GHRL	MTLRP	MIM:605353|HGNC:HGNC:18129|Ensembl:ENSG00000157017|Vega:OTTHUMG00000155360	3p25.3	ghrelin and obestatin prepropeptide	protein-coding	Up	5.94	2.82e-06
5176	SERPINF1	EPC-1|OI12|OI6|PEDF|PIG35	MIM:172860|HGNC:HGNC:8824|Ensembl:ENSG00000132386|Vega:OTTHUMG00000090571	17p13.3	serpin family F member 1	protein-coding	Up	3.5	0.0265
5228	PGF	D12S1900|PGFL|PIGF|PLGF|PlGF-2|SHGC-10760	MIM:601121|HGNC:HGNC:8893|Ensembl:ENSG00000119630|Vega:OTTHUMG00000171496	14q24.3	placental growth factor	protein-coding	Up	7.04	0.0137
5243	ABCB1	ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1	MIM:171050|HGNC:HGNC:40|Ensembl:ENSG00000085563|Vega:OTTHUMG00000023393	7q21.12	ATP binding cassette subfamily B member 1	protein-coding	Down	-5.17	0.0304
5244	ABCB4	ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	MIM:171060|HGNC:HGNC:45|Ensembl:ENSG00000005471|Vega:OTTHUMG00000023396	7q21.12	ATP binding cassette subfamily B member 4	protein-coding	Up	5.41	0.00391
5268	SERPINB5	PI5|maspin	MIM:154790|HGNC:HGNC:8949|Ensembl:ENSG00000206075|Vega:OTTHUMG00000141307	18q21.33	serpin family B member 5	protein-coding	Up	11.12	6.84e-07
5284	PIGR	-	MIM:173880|HGNC:HGNC:8968|Ensembl:ENSG00000162896|Vega:OTTHUMG00000036581	1q32.1	polymeric immunoglobulin receptor	protein-coding	Down	-11.2	0.000448
5307	PITX1	BFT|CCF|LBNBG|POTX|PTX1	MIM:602149|HGNC:HGNC:9004|Ensembl:ENSG00000069011|Vega:OTTHUMG00000149983	5q31.1	paired like homeodomain 1	protein-coding	Up	11.51	1.45e-07
5308	PITX2	ARP1|Brx1|IDG2|IGDS|IGDS2|IHG2|IRID2|Otlx2|PTX2|RGS|RIEG|RIEG1|RS	MIM:601542|HGNC:HGNC:9005|Ensembl:ENSG00000164093|Vega:OTTHUMG00000132837	4q25	paired like homeodomain 2	protein-coding	Up	9	2.73e-07
5320	PLA2G2A	MOM1|PLA2|PLA2B|PLA2L|PLA2S|PLAS1|sPLA2	MIM:172411|HGNC:HGNC:9031|Ensembl:ENSG00000188257|Vega:OTTHUMG00000002699	1p36.13	phospholipase A2 group IIA	protein-coding	Down	-7.75	3.12e-07
5321	PLA2G4A	PLA2G4|cPLA2|cPLA2-alpha	MIM:600522|HGNC:HGNC:9035|Ensembl:ENSG00000116711|Vega:OTTHUMG00000035512	1q31.1	phospholipase A2 group IVA	protein-coding	Up	6.07	0.00484
5327	PLAT	T-PA|TPA	MIM:173370|HGNC:HGNC:9051|Ensembl:ENSG00000104368|Vega:OTTHUMG00000164072	8p11.21	"plasminogen activator, tissue type"	protein-coding	Up	5.04	0.0349
